AMD,Date,Close,RSI
0,2004-01-02 08:00:00-05:00,14.98,
1,2004-01-02 08:05:00-05:00,14.98,
2,2004-01-02 08:20:00-05:00,15.1,
3,2004-01-02 08:44:00-05:00,15.05,
4,2004-01-02 08:49:00-05:00,15.05,
5,2004-01-02 08:53:00-05:00,15.1,
6,2004-01-02 09:02:00-05:00,15.07,
7,2004-01-02 09:04:00-05:00,15.07,
8,2004-01-02 09:05:00-05:00,15.1,
9,2004-01-02 09:06:00-05:00,15.12,
10,2004-01-02 09:24:00-05:00,15.1,
11,2004-01-02 09:31:00-05:00,15.1,
12,2004-01-02 09:32:00-05:00,15.1,
13,2004-01-02 09:33:00-05:00,15.1,66.84331573119469
14,2004-01-02 09:34:00-05:00,15.09,62.947894293490315
15,2004-01-02 09:35:00-05:00,15.08,59.23059729671473
16,2004-01-02 09:36:00-05:00,15.08,59.23059729671473
17,2004-01-02 09:37:00-05:00,15.06,52.09483921072379
18,2004-01-02 09:38:00-05:00,15.05,48.921280687287904
19,2004-01-02 09:39:00-05:00,15.06,52.06598828983661
20,2004-01-02 09:40:00-05:00,15.03,43.42794314366776
21,2004-01-02 09:41:00-05:00,15.03,43.42794314366776
22,2004-01-02 09:42:00-05:00,15.04,46.83762486091524
23,2004-01-02 09:43:00-05:00,15.03,43.98280025542074
24,2004-01-02 09:44:00-05:00,15.01,38.87878534295944
25,2004-01-02 09:45:00-05:00,14.99,34.559771427735456
26,2004-01-02 09:46:00-05:00,14.98,32.60917928135278
27,2004-01-02 09:47:00-05:00,14.99,36.47066642119345

This file was about 2 million lines long, but GitHub said it was too big so this is just a preview of the format